company_financing_stage,company_industry,company_name,company_people,job_edu_require,job_exp_require,job_id,job_name,job_salary,job_tag,job_welfare,record_date
不需要融资,电商,AfterShip,50-150人,本科,5-10年,6390055,大数据开发工程师,25k-40k,数据分析,全球项目、高薪资、高福利、国际团队,2020-04-23
不需要融资,汽车丨出行,吉利科技集团,2000人以上,本科,5-10年,7058188,大数据开发工程师,15k-30k,数据分析,大平台 年终奖,2020-04-23
上市公司,游戏,Goat Games,50-150人,本科,1-3年,7059876,大数据开发工程师,12k-18k,数据分析,成长快 空间自由 专业度高,2020-04-23
D轮及以上,企业服务,拉勾网,500-2000人,本科,1-3年,6670004,数据分析师,10k-20k,数据分析,福利待遇好，周末双休，提供午餐和晚餐,2020-04-23
不需要融资,"移动互联网,金融",海万科技,500-2000人,不限,3-5年,6967976,大数据开发工程师,10k-20k,数据分析,大平台、五险一金、交通便利、新技术,2020-04-23
上市公司,"游戏,移动互联网",3K游戏,150-500人,本科,3-5年,5373027,大数据开发工程师,20k-30k,数据分析,**技术专家 技术大牛 技术氛围好,2020-04-23
B轮,"电商,移动互联网",伽轩,150-500人,本科,不限,6959150,大数据开发工程师,18k-25k,数据分析,行业知名企业，平台稳定，团队大牛多,2020-04-23
D轮及以上,移动互联网,美柚,500-2000人,本科,3-5年,6362154,大数据开发工程师,15k-30k,数据分析,六险一金，免费班车，福利多,2020-04-23
D轮及以上,移动互联网,美柚,500-2000人,本科,不限,5732961,大数据开发工程师,20k-40k,数据分析,"发展空间大,团队氛围佳",2020-04-23
B轮,"数据服务,信息安全",柏睿数据,50-150人,本科,3-5年,6534081,大数据开发工程师,15k-30k,数据分析,大数据 多绩效 BI 数据仓储,2020-04-23
不需要融资,"电商,金融",紫川软件,500-2000人,本科,3-5年,3585649,大数据开发工程师,13k-20k,数据分析,周末双休 五险一金 员工旅游 员工体检,2020-04-23
不需要融资,"移动互联网,金融",小花科技,150-500人,本科,3-5年,7027398,大数据开发工程师,17k-34k,数据分析,互金行业，资金雄厚，业内大牛，奖金丰富,2020-04-23
A轮,移动互联网,中寰卫星,500-2000人,本科,5-10年,6126306,大数据开发工程师,20k-40k,数据分析,"弹性工作,试用期全薪,福利待遇好",2020-04-23
未融资,数据服务、软件开发,中沃名霆,50-150人,本科,不限,6967434,大数据开发工程师,20k-35k,数据分析,离地铁近，年底双薪，带薪年假,2020-04-23
B轮,工具,茄子快传,150-500人,本科,5-10年,6989864,大数据开发工程师,30k-60k,数据分析,大牛云集 16薪奖金多 下午茶 不打卡,2020-04-23
B轮,电商,海际,150-500人,本科,1-3年,6991152,BI数据分析师,12k-18k,数据分析,地铁周边 周末双休,2020-04-23
上市公司,社交,腾讯,2000人以上,不限,3-5年,5777402,大数据开发工程师,15k-30k,数据分析,大数据,2020-04-23
未融资,"移动互联网,教育",圣承,50-150人,本科,5-10年,6964453,大数据开发工程师,15k-30k,数据分析,双休、团建、多元化集团公司,2020-04-23
不需要融资,"移动互联网,金融",海万科技,500-2000人,本科,3-5年,5434732,大数据开发工程师,10k-16k,数据分析,五险一金，带薪年假，年终奖，旅游节日礼金,2020-04-23
上市公司,"金融,数据服务",盛业资本,150-500人,本科,3-5年,6453657,大数据开发工程师,15k-25k,数据分析,香港上市公司，14~17薪,2020-04-23
D轮及以上,房产家居,贝壳,2000人以上,硕士,5-10年,6083703,大数据开发工程师,30k-50k,数据分析,优质平台/优秀团队,2020-04-23
不需要融资,软件开发,恒天软件,2000人以上,本科,3-5年,6840112,大数据开发工程师,8k-15k,数据分析,弹性工作制/六险一金/带薪年假/班车接送,2020-04-23
上市公司,金融,奥解思,500-2000人,本科,1-3年,6455095,大数据开发工程师,17k-22k,数据分析,福利好,2020-04-23
上市公司,文娱丨内容,阅文集团,500-2000人,本科,不限,5601093,大数据开发工程师,20k-40k,数据分析,"Top团队,福利好,环境佳,发展快",2020-04-23
未融资,"数据服务,金融",CLPS,500-2000人,不限,3-5年,6510386,大数据开发工程师,12k-18k,数据分析,六险一金、午餐、班车接送,2020-04-23
未融资,"电商,企业服务",好物聚,150-500人,本科,3-5年,7032635,大数据开发工程师,16k-25k,数据分析,股权激励，绩效奖金，年底分红，年终奖金,2020-04-23
D轮及以上,企业服务,拉勾网,500-2000人,本科,3-5年,6669888,资深数据分析师,20k-35k,数据分析,福利待遇好，周末双休，提供午餐和晚餐,2020-04-23
未融资,金融,申朴信息,150-500人,大专,3-5年,6881862,大数据开发工程师,15k-25k,数据分析,五险一金、周末双休、项目稳定、工作环境好,2020-04-23
